account,amount
5DiFhyrea8JzirxYS3iCG8waJSW1XzDHoJzooDcER3DvGiCw,0.7997
5EHXTUk8j1mnfep9brigB6dyk9xmmvwoKNK3fWDE7EaEU9jF,0.657
5EjfdMWUPLSE1FpXERjohs6LM9vMS1BTn8NdvsbbccxZXuwV,0.6448
5FgkbQJPhjrsrU9Hjy3tpHKo1nPniWw42z1W4HL8eXjW5f5s,0.6222
5DeY4N72yBJPFQf8CMd4SLoZor4HBdX9UUERaobH3Cs73S6r,0.5806
5D4cqeZUEgxb6t59NqRaAJGJkCF4aoqjmGvisNri9zbuoLUj,0.579
5CAS4cfo3kbibvGBzrebAZx1sTDFjUrcSAg6hrAMFYYGmxNz,0.5513
5GmjpBboW4a59UdGciG1Wcg6o3ZdhiEtWvuufbjBdFzVUybF,0.4938
5FXBmXu62ATqPvA5YK3eTFAin2JxFCVAtRQm4uXmpZmTpV2c,0.4618
5HbRWFE1zTB9t66LJhAUbf6e8zKjzBEUmRPvU1vCm4Y6e5Jm,0.391
5HEuZJVTSph31u8Yrc1HGFxCbxqnJ4UjAe1xgapWnFVeE4iX,0.3535
5DqV3NgY8cgtdeBD7rhrxd7YLUqyUt32WA1WmoXMKQodbFdM,0.3405
